STF_Weighted_Slope,STF_ActualReturnPerDay
-0.005574248081531575,-0.07304776633719952
-0.005374638601702954,0.004654920746949524
-0.006769548853280791,-0.0016029634502634348
-0.005487448362699376,-0.024486971927788065
-0.004337728911044034,0.039282229769883575
-0.0032560750470099547,0.019831507824368676
-0.0033971216958807683,0.01769805509610453
-0.002929952296785631,-0.0079039897102733
-0.0034850484910482343,-0.03470401715909954
-0.0027339354397704577,-0.012240021770439428
-0.003947511027778083,0.04296116260809866
-0.0029810691340633566,0.025899321124753884
-0.0019942524582379525,0.0169285205799415
-0.0010826347569740274,-0.039634128086604575
-0.0018693917225847062,-0.011147318641108652
-0.0021443049998997646,0.0
-0.0012572033413756237,0.004319173392914306
-0.002184688099874807,0.010420020004106814
-0.001479289940828402,-0.009368836291913318
-0.0018804873710310398,0.0017165034642957285
-0.0014247963267200975,-0.06210806417493353
-0.0034277875213845335,0.0008437338296327142
-0.003504124305576892,-0.010849785315796875
-0.00462350457424349,0.007613574165298382
-0.004485897545757866,0.0014024786865479732
-0.0032766025383300246,-0.002672643389139259
-0.0037575098633086663,-0.004080835792156783
-0.0018867701692504703,-0.007423538981601631
-0.004721469215253746,-0.017297864428389344
-0.005123528660380263,0.003941204691695363
-0.004442397245452295,-0.0231264459799832
-0.0045233006896659754,0.0
-0.0006288015781686703,-0.02305523590333727
-0.0027894448504419914,-0.004357421438748009
-0.003935100642620289,9.271621421151822e-05
-0.0033633490501952137,-0.013994169096209699
-0.0034028043974915307,0.006053859560353016
-0.0037596899224806193,-0.023255813953488302
-0.005060960591133005,-0.0590170068027211
-0.0041193540565932895,0.01667693737561487
-0.003033030425398328,0.00032467532467540566
-0.002418077184613728,0.0054471178963254865
-0.0015855532728706939,-0.01844217985316085
-0.002357967218183845,-0.0349970725995316
-0.0037818338852706086,0.015799885845811316
-0.002650061026749494,0.005929876478700834
-0.0032553330625897966,0.005358852061237976
-0.0022908416335461,-0.017014064931726268
-0.00279910258673896,0.01919601177262125
-0.002830970392389563,0.002194338660504158
-0.003904483179014445,-0.005500301386377352
-0.00574317103586216,-0.02145793315405295
-0.0063943511227856275,-0.007269080759496091
-0.004795806735007019,-0.038277801910509945
-0.004976354915502385,0.005830301624385002
-0.0039154974314011964,0.003534094071237054
-0.00314222623215552,-0.03726436249286491
-0.003483479794139337,-0.016333734750010733
-0.003877289544009138,-0.018802673714536904
-0.004388952388459129,-0.0031671939208994483
-0.0051701730211782815,-0.008275441360387577
-0.004953238636609876,0.003484688359215393
-0.003998346912819758,-0.006221827464404655
-0.0036525274269247365,0.04527546253355595
-0.001400678502497097,0.027986392148927595
-0.000696649268465408,-0.006163982615420521
-0.0013255097845921594,-0.03753967442235623
-0.0025975510630828094,0.011310352109996598
-0.0022349649119983756,0.0032413877045277097
-0.0007169475065348146,-0.01953778098945442
-0.0017661661010343764,-0.009520832275028047
-0.00264478764478764,-0.017297297297297343
-0.004245685205213337,-0.0009253335246983412
-0.003732466384430933,-0.02066953645605334
-0.0042565495956670245,-0.04319650690331326
-0.003682490707374445,-0.006293378428158647
-0.003703645907759146,-0.009055067085258401
-0.003914314149643988,0.003190724264170833
-0.0028836652943140108,-0.0013466674084791075
-0.0032496912751948607,-0.015334431782348359
-0.0037075479010230334,-0.0377853742888527
-0.004048979396830799,-0.01059335540434865
-0.004709720815347901,-0.005042490530570109
-0.004078283269941946,-0.006481303930968368
-0.0038006680906915095,-0.012537560799855872
-0.003548071235091068,-0.012273250146677739
-0.003941158413214158,-0.0061447772010709304
-0.007376080677366486,-0.03368198147797102
-0.0006322202518116177,-0.004427350081606923
-0.0013748334587291122,-0.0032703807329384138
-0.0019101858972831241,0.004438280166435453
-0.002918120295436534,0.003963121667154707
-0.0026768642447418767,-0.02230720203951575
-0.0037348499331619294,0.016448924366636516
-0.0020044803696392336,0.003147261317605486
-0.0020676394632259875,-0.014650419606965552
-0.0028171981262395045,0.0019666637919660145
